0 5.6 54
1 5.6 126
2 5.6 198
3 5.6 270
4 5.6 342
5 11.6 6
6 11.6 30
7 11.6 54
8 11.6 78
9 11.6 102
10 11.6 126
11 11.6 150
12 11.6 174
13 11.6 198
14 11.6 222
15 11.6 246
16 11.6 270
17 11.6 294
18 11.6 318
19 11.6 342
20 17.8 12
21 17.8 30
22 17.8 48
23 17.8 66
24 17.8 84
25 17.8 102
26 17.8 120
27 17.8 138
28 17.8 156
29 17.8 174
30 17.8 192
31 17.8 210
32 17.8 228
33 17.8 246
34 17.8 264
35 17.8 282
36 17.8 300
37 17.8 318
38 17.8 336
39 17.8 354
40 24.8 6
41 24.8 18
42 24.8 30
43 24.8 42
44 24.8 54
45 24.8 66
46 24.8 78
47 24.8 90
48 24.8 102
49 24.8 114
50 24.8 126
51 24.8 138
52 24.8 150
53 24.8 162
54 24.8 174
55 24.8 186
56 24.8 198
57 24.8 210
58 24.8 222
59 24.8 234
60 24.8 246
61 24.8 258
62 24.8 270
63 24.8 282
64 24.8 294
65 24.8 306
66 24.8 318
67 24.8 330
68 24.8 342
69 24.8 354
70 32.4 6
71 32.4 18
72 32.4 30
73 32.4 42
74 32.4 54
75 32.4 66
76 32.4 78
77 32.4 90
78 32.4 102
79 32.4 114
80 32.4 126
81 32.4 138
82 32.4 150
83 32.4 162
84 32.4 174
85 32.4 186
86 32.4 198
87 32.4 210
88 32.4 222
89 32.4 234
90 32.4 246
91 32.4 258
92 32.4 270
93 32.4 282
94 32.4 294
95 32.4 306
96 32.4 318
97 32.4 330
98 32.4 342
99 32.4 354
100 40.2 6
101 40.2 18
102 40.2 30
103 40.2 42
104 40.2 54
105 40.2 66
106 40.2 78
107 40.2 90
108 40.2 102
109 40.2 114
110 40.2 126
111 40.2 138
112 40.2 150
113 40.2 162
114 40.2 174
115 40.2 186
116 40.2 198
117 40.2 210
118 40.2 222
119 40.2 234
120 40.2 246
121 40.2 258
122 40.2 270
123 40.2 282
124 40.2 294
125 40.2 306
126 40.2 318
127 40.2 330
128 40.2 342
129 40.2 354
130 48.2 6
131 48.2 18
132 48.2 30
133 48.2 42
134 48.2 54
135 48.2 66
136 48.2 78
137 48.2 90
138 48.2 102
139 48.2 114
140 48.2 126
141 48.2 138
142 48.2 150
143 48.2 162
144 48.2 174
145 48.2 186
146 48.2 198
147 48.2 210
148 48.2 222
149 48.2 234
150 48.2 246
151 48.2 258
152 48.2 270
153 48.2 282
154 48.2 294
155 48.2 306
156 48.2 318
157 48.2 330
158 48.2 342
159 48.2 354
160 56.4 6
161 56.4 18
162 56.4 30
163 56.4 42
164 56.4 54
165 56.4 66
166 56.4 78
167 56.4 90
168 56.4 102
169 56.4 114
170 56.4 126
171 56.4 138
172 56.4 150
173 56.4 162
174 56.4 174
175 56.4 186
176 56.4 198
177 56.4 210
178 56.4 222
179 56.4 234
180 56.4 246
181 56.4 258
182 56.4 270
183 56.4 282
184 56.4 294
185 56.4 306
186 56.4 318
187 56.4 330
188 56.4 342
189 56.4 354
190 64.8 6
191 64.8 18
192 64.8 30
193 64.8 42
194 64.8 54
195 64.8 66
196 64.8 78
197 64.8 90
198 64.8 102
199 64.8 114
200 64.8 126
201 64.8 138
202 64.8 150
203 64.8 162
204 64.8 174
205 64.8 186
206 64.8 198
207 64.8 210
208 64.8 222
209 64.8 234
210 64.8 246
211 64.8 258
212 64.8 270
213 64.8 282
214 64.8 294
215 64.8 306
216 64.8 318
217 64.8 330
218 64.8 342
219 64.8 354
220 73.2 6
221 73.2 18
222 73.2 30
223 73.2 42
224 73.2 54
225 73.2 66
226 73.2 78
227 73.2 90
228 73.2 102
229 73.2 114
230 73.2 126
231 73.2 138
232 73.2 150
233 73.2 162
234 73.2 174
235 73.2 186
236 73.2 198
237 73.2 210
238 73.2 222
239 73.2 234
240 73.2 246
241 73.2 258
242 73.2 270
243 73.2 282
244 73.2 294
245 73.2 306
246 73.2 318
247 73.2 330
248 73.2 342
249 73.2 354
250 81.6 6
251 81.6 18
252 81.6 30
253 81.6 42
254 81.6 54
255 81.6 66
